iteration,reward_mean,length_mean,games,loss
79500,-1.0,2.0,9,5.391445938585093e-06
80000,-1.0,2.0,8,3.861382083414355e-06
80500,-1.0,2.0,9,2.739208866842091e-06
81000,-0.89,2.11,9,3.8166299418662675e-06
81500,-1.0,2.0,8,1.8277827393831103e-06
82000,-1.0,2.0,9,1.2160902542746044e-06
82500,-0.82,2.18,11,4.471542524697725e-06
83000,-1.0,2.0,9,6.274604857026134e-06
83500,-1.0,2.0,8,1.952675347638433e-06
84000,-1.0,2.0,10,1.0134090189239942e-05
84500,-1.0,2.0,9,3.0295805117930286e-06
85000,-1.0,2.0,9,3.3928370157809695e-06
85500,-1.0,2.0,10,4.3397003537393175e-06
86000,-1.0,2.0,10,9.240312465408351e-06
86500,-1.0,2.0,8,1.1479087334009819e-06
87000,-1.0,2.0,8,2.9564230317191686e-06
87500,-1.0,2.0,8,4.4380271901900414e-07
88000,-1.0,2.0,10,4.1170247300215124e-07
88500,-0.88,2.12,8,6.620801400458731e-07
89000,-1.0,2.0,8,1.5031851035018917e-06
89500,-1.0,2.0,10,5.82060147280572e-06
90000,-1.0,2.0,8,3.158853132845252e-06
90500,-1.0,2.0,8,3.071949095101445e-07
91000,-1.0,2.0,8,1.4071002851778758e-07
91500,-1.0,2.0,9,1.0282931270921836e-06
92000,-1.0,2.0,8,3.5880609061678115e-07
92500,-1.0,2.0,8,3.4515180686867097e-06
93000,-0.9,2.1,10,3.2395996640843805e-06
93500,-1.0,2.0,9,5.135338142281398e-06
94000,-0.92,2.08,12,2.6195525606453884e-06
94500,-0.91,2.09,11,2.537081400078023e-06
95000,-1.0,2.0,9,2.0798704554181313e-06
95500,-1.0,2.0,10,5.633577302432968e-07
96000,-1.0,2.0,11,5.2046889322809875e-06
96500,-0.9,2.1,10,2.1447847302624723e-06
97000,-1.0,2.0,9,7.853901479393244e-06
97500,-1.0,2.0,10,3.082166813328513e-06
98000,-1.0,2.0,9,3.184324214089429e-06
98500,-0.92,2.08,12,1.2309299108892446e-06
99000,-1.0,2.0,8,7.801570973242633e-06
99500,-1.0,2.0,8,6.040930202289019e-06
100000,-0.78,2.22,9,2.2282738427747972e-05
100500,-1.0,2.0,8,9.700302143755835e-06
101000,-0.88,2.12,8,1.5667455954826437e-05
101500,-1.0,2.0,8,2.698851858440321e-06
